Time,Host,File Size,Protocol,Speed (MB/s)
2025-08-20 19:49:30,USA,100MB_file,rsync_hop,5.06
2025-08-20 19:50:04,USA,100MB_file,rsync_ssh_reno,3.37
2025-08-20 19:50:26,USA,10MB_file,rsync_hop,4.77
2025-08-20 19:50:38,USA,10MB_file,rsync_ssh_reno,1.26
2025-08-21 00:27:23,USA,100MB_file,rsync_hop,4.48
2025-08-21 00:27:33,USA,100MB_file,rsync_ssh_reno,15.28
2025-08-21 00:27:54,USA,10MB_file,rsync_hop,7.29
2025-08-21 00:28:00,USA,10MB_file,rsync_ssh_reno,6.64
2025-08-21 00:31:26,USA,1GB_file,rsync_hop,5.51
2025-08-21 00:32:30,USA,1GB_file,rsync_ssh_reno,17.07
2025-08-21 00:33:28,Europe,100MB_file,rsync_hop,2.97
2025-08-21 00:33:48,Europe,100MB_file,rsync_ssh_reno,6.76
2025-08-21 00:34:15,Europe,10MB_file,rsync_hop,3.35
2025-08-21 00:34:23,Europe,10MB_file,rsync_ssh_reno,3.4
2025-08-21 00:41:50,Europe,1GB_file,rsync_ssh_reno,7.39
2025-08-21 00:42:29,USA,100MB_file,rsync_hop,5.04
2025-08-21 00:43:00,USA,100MB_file,rsync_ssh_reno,3.61
2025-08-21 00:43:23,USA,10MB_file,rsync_hop,4.44
2025-08-21 00:43:34,USA,10MB_file,rsync_ssh_reno,1.31
2025-08-21 00:47:41,USA,1GB_file,rsync_hop,4.52
2025-08-21 00:49:34,USA,1GB_file,rsync_ssh_reno,9.47
2025-08-21 00:50:48,Europe,100MB_file,rsync_hop,1.94
2025-08-21 00:51:09,Europe,100MB_file,rsync_ssh_reno,7.07
2025-08-21 00:51:35,Europe,10MB_file,rsync_hop,3.25
2025-08-21 00:51:43,Europe,10MB_file,rsync_ssh_reno,3.14
2025-08-21 00:56:22,Europe,1GB_file,rsync_hop,4.0
2025-08-21 00:58:11,Europe,1GB_file,rsync_ssh_reno,9.99
2025-08-21 01:05:09,Asia,100MB_file,rsync_hop,2.63
2025-08-21 01:05:35,Asia,100MB_file,rsync_ssh_reno,5.53
2025-08-21 01:06:02,Asia,10MB_file,rsync_hop,3.09
2025-08-21 01:06:12,Asia,10MB_file,rsync_ssh_reno,2.65
2025-08-21 01:12:46,Asia,100MB_file,rsync_hop,3.25
2025-08-21 01:13:12,Asia,100MB_file,rsync_ssh_reno,5.37
